DateTime,Return1,Return5,SmaNorm,RSI14,DeltaRSI,ATR14,StdDev20,ZClose,VolZ,BodyToRange,IntraBarPos,UpperWick,LowerWick,Close
20250611 184500,-0.000514,-0.001176,0.001072,43.036765,-1.917498,41.630435,50.058920,-0.468698,-1.159479,0.471910,0.213483,7.000000,4.750000,21876.750000
20250611 190000,-0.001853,-0.002321,0.002606,36.929767,-6.106998,42.388976,48.599473,-1.170795,-1.030186,0.803828,0.172249,1.250000,9.000000,21836.250000
20250611 191500,-0.000126,-0.002276,0.002348,36.550501,-0.379266,41.182620,43.418708,-1.180655,-0.977812,0.049020,0.607843,8.750000,15.500000,21833.500000
20250611 193000,-0.000080,-0.001888,0.002025,36.295052,-0.255449,39.580290,34.477039,-1.282013,-0.977862,0.066667,0.520000,7.750000,9.750000,21831.750000
20250611 194500,0.001167,-0.001406,0.000574,42.591223,6.296171,39.199555,24.988072,-0.502240,-0.896172,0.732824,0.732824,8.750000,0.000000,21857.250000
20250611 200000,-0.000893,-0.001784,0.001287,39.385549,-3.205674,38.042444,23.477978,-1.197399,-0.823059,0.880435,0.108696,0.250000,2.500000,21837.750000
20250611 201500,-0.000206,-0.000137,0.001490,38.662363,-0.723186,37.467984,23.579424,-1.379911,-0.726936,0.183333,0.475000,10.250000,14.250000,21833.250000
20250611 203000,-0.000894,-0.000905,0.002300,35.610932,-3.051430,37.309556,26.018875,-1.928408,-0.649241,0.546099,0.198582,9.000000,7.000000,21813.750000
20250611 204500,0.000218,-0.000607,0.001880,36.917016,1.306084,37.501731,25.864729,-1.585653,-0.498561,0.125000,0.687500,12.500000,22.500000,21818.500000
20250611 210000,-0.000768,-0.002542,0.002514,34.276656,-2.640360,37.448036,28.756260,-1.905672,-0.441238,0.442177,0.530612,1.000000,19.500000,21801.750000
20250611 211500,-0.000023,-0.001673,0.002394,34.198028,-0.078628,35.933891,31.108266,-1.677609,-0.481158,0.030769,0.461538,8.750000,7.000000,21801.250000
20250611 213000,-0.001251,-0.002717,0.003474,30.140095,-4.057933,36.599327,35.612006,-2.124284,-0.297282,0.602210,0.121547,12.500000,5.500000,21774.000000
20250611 214500,-0.000103,-0.001927,0.003367,29.825399,-0.314696,36.056518,39.249650,-1.867533,-0.200374,0.068966,0.612069,9.250000,17.750000,21771.750000
